Alliaria petiolata
Phalaris arundinacea
Angelica sylvestris
Anthriscus sylvestris
Heracleum sphondylium
Heracleum mantegazzianum
Butomus umbellatus
Cacomba caroliniana
Celastrus orbiculatus
Trapa natans
Lonicera morrowii
Lonicera tatarica
Lonicera x bella
Vincetoxicum rossicum
Vincetoxicum nigrum
Aogopodium podagraria
Egeria densa
Berberis thunbergii
Acer platanoides
Nymphoides peltata
Galium mollugo
Glyceria maxima
Petasites hybridus
Hydrilla verticillata
Hydrocharis morsus-ranae
Impatiens glandulifera 
Iris pseudacorus
Eichhornia crassipes
Pueraria montana
Pistia stratiotes
Miscanthus sacchariflorus
Miscanthus sinensis
Miscanthus xgiganteus
Myriophyllum spicatum 
Myriophyllum aquaticum
Frangula alnus
Rhamnus cathartica
Elaeagnus umbellata
Petasites japonicus
Najas minor
Potamogeton crispus
Ficaria verna
Reynoutria x bohemica
Reynoutria sachalinensis
Reynoutria japonica
Rorippa amphibia
Phragmites australis subs. australis
Rosa mutiflora
Lythrum salicaria
Stratiotes aloides
Bythotrephes longimanus
Eriocheir sinensis 
Carcinus maenas
Hemimysis anomala
Faxonius rusticus
Procambarus clarkii
Echinohammarue ischnus
Cercopagis pengoi
Littorina littorea
Cepaea nemoralis
Arion ater
Dreissena bugensis
Dreissena polymorpha
Potamopyrgus antipodarum
Corbicula fluminae
Cipangopaludina chinensis
Viviparius georgianus
Carassius auratus
Hypophtalmichthys nobilis
Hypophtalmichthys molitrix
Ctenopharyngodon idella
Mylopharyngodon piceus
Lepomis cyanellus
Scardinius erythrophthalmus
Proterorhinus semilunaris
Neogobius melanostomus
Gymnocephalus cernua
Channa argus
Oncorhynchus gorbuscha
Tinca tinca
Oncorhynchus mykiss
Trachemys scripta elegans
Cervus elaphus
Cervus nippon
Felis silvestris catus
Dama dama
Rattus rattus
Rattus norvegicus
Sus scrofa
Mus musculus
Myiopsitta monachus
Cygnus olor
Sturnus vulgaris
Phasianus colchicus
Passer domesticus
Perdix perdix
Columba livia
Agrilus planipennis
Harmonia axyridis
Lycorma delicatula
Tomicus piniperda L.
Anoplophora glabripennis
Tetropium fuscum
Anoplophora chinensis
Lymantria monacha
Leucoma salicis
Dendrolimus superans
Adelges tsugae
Cydalima perspectalis
Popillia japonica
Sirex noctilio
Lymantria dispar ou Lymantria dispar dispar
Aproceros leucipoda
Ips typographus
Amynthas agretis
Amynthas tokioensis
Metaphire hilgendorfi
Cyprinus carpio
Oncorhynchus tshawytscha
Oncorhynchus kisutch
Oncorhynchus nerka
Meleagris gallopavo
Haemorhous mexicanus
Streptopelia decaocto
Ovibos moschatus
Pseudorasbora parva
