"scientific_name","qc_status"
"Lilium canadense","Vulnérable à la récolte"
"Matteuccia struthiopteris","Vulnérable à la récolte"
"Adiantum pedatum","Vulnérable à la récolte"
"Uvularia grandiflora","Vulnérable à la récolte"
"Trillium grandiflorum","Vulnérable à la récolte"
"Asarum canadense","Vulnérable à la récolte"
"Sanguinaria canadensis","Vulnérable à la récolte"
"Cardamine maxima","Vulnérable à la récolte"
"Cardamine diphylla","Vulnérable à la récolte"
"Polygonum douglasii","Vulnérable"
"Gyrinophilus porphyriticus","Vulnérable"
"Rangifer tarandus","Vulnérable"
"Pseudacris triseriata","Vulnérable"
"Conopholis americana","Vulnérable"
"Ixobrychus exilis","Vulnérable"
"Floerkea proserpinacoides","Vulnérable"
"Bucephala islandica","Vulnérable"
"Haliaeetus leucocephalus","Vulnérable"
"Aquila chrysaetos","Vulnérable"
"Falco peregrinus","Vulnérable"
"Goodyera pubescens","Vulnérable"
"Allium tricoccum","Vulnérable"
"Cypripedium arietinum","Vulnérable"
"Osmerus mordax","Vulnérable"
"Catharus bicknelli","Vulnérable"
"Histrionicus histrionicus","Vulnérable"
"Acer nigrum","Vulnérable"
"Rhus aromatica","Vulnérable"
"Moxostoma carinatum","Vulnérable"
"Notropis bifrenatus","Vulnérable"
"Alosa sapidissima","Vulnérable"
"Helianthus divaricatus","Vulnérable"
"Ionactis linariifolia","Vulnérable"
"Valeriana uliginosa","Vulnérable"
"Graptemys geographica","Vulnérable"
"Glyptemys insculpta","Vulnérable"
"Percina copelandi","Vulnérable"
"Arnica lanceolata","Vulnérable"
"Ursus maritimus","Vulnérable"
"Taenidia integerrima","Susceptible"
"Antennaria rosea","Susceptible"
"Agoseris aurantiaca","Susceptible"
"Achillea alpina","Susceptible"
"Noturus flavus","Susceptible"
"Asclepias exaltata","Susceptible"
"Mulgedium pulchellum","Susceptible"
"Noturus insignis","Susceptible"
"Sanicula canadensis","Susceptible"
"Ameiurus natalis","Susceptible"
"Toxicodendron vernix","Susceptible"
"Rhus glabra","Susceptible"
"Delphinapterus leucas","Susceptible"
"Canadanthus modestus","Susceptible"
"Racomitrium panschii","Susceptible"
"Microtus chrotorrhinus","Susceptible"
"Erigeron compositus","Susceptible"
"Coregonus artedi","Susceptible"
"Bidens heterodoxa","Susceptible"
"Hybognathus hankinsoni","Susceptible"
"Alnus serrulata","Susceptible"
"Symphyotrichum pilosum","Susceptible"
"Draba subcapitata","Susceptible"
"Microtus pinetorum","Susceptible"
"Artemisia tilesii","Susceptible"
"Notropis rubellus","Susceptible"
